Table,Column,Total Rows,Non-null Count,Completeness (%)
matches,draw,900,900,100.0
penalty_kicks,key_id,279,279,100.0
penalty_kicks,penalty_kick_id,279,279,100.0
penalty_kicks,tournament_id,279,279,100.0
penalty_kicks,tournament_name,279,279,100.0
penalty_kicks,match_id,279,279,100.0
penalty_kicks,match_name,279,279,100.0
penalty_kicks,match_date,279,279,100.0
penalty_kicks,stage_name,279,279,100.0
penalty_kicks,group_name,279,279,100.0
penalty_kicks,team_id,279,279,100.0
penalty_kicks,team_name,279,279,100.0
penalty_kicks,team_code,279,279,100.0
penalty_kicks,home_team,279,279,100.0
penalty_kicks,away_team,279,279,100.0
penalty_kicks,player_id,279,279,100.0
penalty_kicks,family_name,279,279,100.0
penalty_kicks,given_name,279,279,100.0
penalty_kicks,shirt_number,279,279,100.0
penalty_kicks,converted,279,279,100.0
player_appearances,key_id,18623,18623,100.0
player_appearances,tournament_id,18623,18623,100.0
player_appearances,tournament_name,18623,18623,100.0
player_appearances,match_id,18623,18623,100.0
player_appearances,match_name,18623,18623,100.0
player_appearances,match_date,18623,18623,100.0
player_appearances,stage_name,18623,18623,100.0
player_appearances,group_name,18623,18623,100.0
player_appearances,team_id,18623,18623,100.0
player_appearances,team_name,18623,18623,100.0
player_appearances,team_code,18623,18623,100.0
player_appearances,home_team,18623,18623,100.0
player_appearances,away_team,18623,18623,100.0
player_appearances,player_id,18623,18623,100.0
player_appearances,family_name,18623,18623,100.0
player_appearances,given_name,18623,18623,100.0
player_appearances,shirt_number,18623,18623,100.0
player_appearances,position_name,18623,18623,100.0
player_appearances,position_code,18623,18623,100.0
player_appearances,starter,18623,18623,100.0
player_appearances,substitute,18623,18623,100.0
player_appearances,captain,18623,18623,100.0
players,key_id,7907,7907,100.0
players,player_id,7907,7907,100.0
players,family_name,7907,7907,100.0
players,given_name,7907,7907,100.0
players,birth_date,7907,7906,99.9873529783736
players,goal_keeper,7907,7907,100.0
players,defender,7907,7907,100.0
players,midfielder,7907,7907,100.0
players,forward,7907,7907,100.0
players,count_tournaments,7907,7907,100.0
players,list_tournaments,7907,7907,100.0
players,player_wikipedia_link,7907,7907,100.0
qualified_teams,key_id,457,457,100.0
qualified_teams,tournament_id,457,457,100.0
qualified_teams,tournament_name,457,457,100.0
qualified_teams,team_id,457,457,100.0
qualified_teams,team_name,457,457,100.0
qualified_teams,team_code,457,457,100.0
qualified_teams,count_matches,457,457,100.0
qualified_teams,performance,457,457,100.0
referee_appearances,key_id,900,900,100.0
referee_appearances,tournament_id,900,900,100.0
referee_appearances,tournament_name,900,900,100.0
referee_appearances,match_id,900,900,100.0
referee_appearances,match_name,900,900,100.0
referee_appearances,match_date,900,900,100.0
referee_appearances,stage_name,900,900,100.0
referee_appearances,group_name,900,900,100.0
