Match_ID,Home_Team_Score,Away_Team_Score,Accuracy_Status
M-1966-28,4,0,Accurate
M-1966-29,2,1,Accurate
M-1966-30,2,1,Accurate
M-1966-31,2,1,Accurate
M-1966-32,4,2,Accurate
M-1970-01,0,0,Accurate
M-1970-02,2,0,Accurate
M-1970-03,1,0,Accurate
M-1970-04,3,2,Accurate
M-1970-05,3,0,Accurate
M-1970-06,1,0,Accurate
M-1970-07,4,1,Accurate
M-1970-08,2,1,Accurate
M-1970-09,4,1,Accurate
M-1970-10,0,0,Accurate
M-1970-11,2,1,Accurate
M-1970-12,3,0,Accurate
M-1970-13,4,0,Accurate
M-1970-14,1,1,Accurate
M-1970-15,1,0,Accurate
M-1970-16,5,2,Accurate
M-1970-17,2,0,Accurate
M-1970-18,1,0,Accurate
M-1970-19,3,2,Accurate
M-1970-20,3,1,Accurate
M-1970-21,1,0,Accurate
M-1970-22,0,0,Accurate
M-1970-23,1,0,Accurate
M-1970-24,1,1,Accurate
M-1970-25,4,2,Accurate
M-1970-26,4,1,Accurate
M-1970-27,0,1,Accurate
M-1970-28,3,2,Accurate
M-1970-29,3,1,Accurate
M-1970-30,4,3,Accurate
M-1970-31,1,0,Accurate
M-1970-32,4,1,Accurate
M-1974-01,0,0,Accurate
M-1974-02,1,0,Accurate
M-1974-03,2,0,Accurate
M-1974-04,0,2,Accurate
M-1974-05,0,0,Accurate
M-1974-06,0,2,Accurate
M-1974-07,3,1,Accurate
M-1974-08,3,2,Accurate
M-1974-09,0,3,Accurate
M-1974-10,1,1,Accurate
M-1974-11,0,0,Accurate
M-1974-12,9,0,Inaccurate
M-1974-13,1,1,Accurate
M-1974-14,0,0,Accurate
M-1974-15,1,1,Accurate
M-1974-16,0,7,Inaccurate
M-1974-17,0,0,Accurate
M-1974-18,1,1,Accurate
M-1974-19,0,3,Accurate
M-1974-20,1,0,Accurate
M-1974-21,1,4,Accurate
M-1974-22,3,0,Accurate
M-1974-23,4,1,Accurate
M-1974-24,2,1,Accurate
M-1974-25,0,2,Accurate
M-1974-26,1,0,Accurate
M-1974-27,4,0,Accurate
M-1974-28,0,1,Accurate
M-1974-29,1,2,Accurate
M-1974-30,0,2,Accurate
M-1974-31,2,1,Accurate
M-1974-32,4,2,Accurate
M-1974-33,0,1,Accurate
M-1974-34,1,1,Accurate
M-1974-35,2,0,Accurate
M-1974-36,2,1,Accurate
M-1974-37,0,1,Accurate
M-1974-38,1,2,Accurate
M-1978-01,0,0,Accurate
M-1978-02,2,1,Accurate
M-1978-03,3,1,Accurate
M-1978-04,2,1,Accurate
